ID,FFQ_1,FFQ_2,FFQ_3,FFQ_4,FFQ_5,FFQ_6,FFQ_7,FFQ_8,FFQ_9,FFQ_10,FFQ_11,FFQ_12,FFQ_13,FFQ_14,FFQ_15,FFQ_16,FFQ_17,FFQ_18,FFQ_19,FFQ_20,FFQ_21,FFQ_22,FFQ_23,FFQ_24,FFQ_25,FFQ_26,FFQ_27,FFQ_28,FFQ_29,FFQ_30,FFQ_31,FFQ_32,FFQ_33,FFQ_34,FFQ_35,FFQ_36,FFQ_37,FFQ_38,FFQ_39,FFQ_40,FFQ_41,FFQ_42,FFQ_43,FFQ_44,FFQ_45,FFQ_46,FFQ_47,FFQ_48,FFQ_49,FFQ_50,FFQ_51,FFQ_52,FFQ_53,FFQ_54,FFQ_55,FFQ_56,FFQ_57,FFQ_58,FFQ_59,FFQ_60,FFQ_61,FFQ_62,FFQ_63,FFQ_64,FFQ_65,FFQ_66,FFQ_67,FFQ_68,FFQ_69,FFQ_70,FFQ_71,FFQ_72,FFQ_73,FFQ_74,FFQ_75,FFQ_76,FFQ_77,FFQ_78,FFQ_79,FFQ_80,FFQ_81,FFQ_82,FFQ_83,FFQ_84,FFQ_85,FFQ_86,FFQ_87,FFQ_88,FFQ_89,FFQ_90,FFQ_91,FFQ_92,FFQ_93,FFQ_94,FFQ_95,FFQ_96,FFQ_97,FFQ_98,FFQ_99,FFQ_100,FFQ_101,FFQ_102,FFQ_103,FFQ_104,FFQ_105,FFQ_106,FFQ_107,FFQ_108,FFQ_109,FFQ_110,FFQ_111,FFQ_112,FFQ_113,FFQ_114,FFQ_115,FFQ_116,FFQ_117,FFQ_118,FFQ_119,FFQ_120,FFQ_121,FFQ_122,FFQ_123,FFQ_124,FFQ_125,FFQ_126,FFQ_127,FFQ_128,FFQ_129,FFQ_130,FFQ_131,FFQ_132,FFQ_133,FFQ_134,FFQ_135,FFQ_136,FFQ_137,FFQ_138,FFQ_139,FFQ_140,FFQ_141,FFQ_142,FFQ_143,FFQ_144,FFQ_145,FFQ_146,FFQ_147,FFQ_148,FFQ_149,FFQ_150,FFQ_151,FFQ_152,FFQ_153,FFQ_154,FFQ_155,FFQ_156
FS_2TsD0eXJIxArGAb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_2Vm5dr2NbOVnHBJ,3,2,1,1,4,1,4,1,2,1,1,2,2,3,3,1,1,2,2,2,2,1,6,4,2,2,2,1,4,1,4,1,2,2,4,2,3,6,4,4,1,4,1,1,6,1,1,4,1,1,1,1,1,6,6,2,1,1,1,1,2,2,1,1,2,2,2,1,1,3,3,1,3,3,1,5,1,6,2,6,1,1,1,1,1,1,2,1,2,2,1,1,1,3,3,2,1,6,2,1,1,4,1,1,4,1,2,2,1,4,4,4,1,1,1,6,6,4,4,1,4,1,5,4,1,1,4,2,1,1,2,,2,2,2,,6,,5,Stork,4,4,3,2,2,1,5,2,,5,6,5,5.0,6.0,2,
FS_2WDuRWKXL0Hd2kG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,9,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,1,5,2,1,1,1,1,1,2,5,1,1,1,4,1,2,1,1,1,1,2,1,1,1,4,2,1,1,1,1,1,1,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,4,2,1,4,1,1,1,4,4,1,4,1,1,1,1,1,2,4,5,2,3,1,5,1,4,5,5,1,1,1,1,3,2,,8,3,2,none,3,,6,,4,5,4,0,4,2,4,2,,5,5,5,0.0,0.0,2,
FS_2yapNuKwAW7Ls9f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_31u5bySxJhk0gr5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3GDFeB6FVxFISWR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3HpQ6GaOSaMCo4l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3iQ0uasFiL9h2zC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3KxqNT0DEvHjPdC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3m4gsFnanDpUozJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3qvA7WcHgNzAvDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3qwfpKMnMIlQWwt,3,2,2,1,4,3,2,1,2,1,1,2,1,3,2,2,1,4,1,4,3,3,2,3,2,2,2,1,2,1,3,1,2,3,2,2,3,4,1,4,3,3,1,2,3,1,2,4,2,1,1,2,1,4,4,2,2,1,3,2,2,1,2,2,2,3,3,2,1,4,4,2,2,2,3,3,2,1,3,7,1,1,1,1,1,4,2,1,4,1,3,2,1,2,1,2,1,3,2,1,1,3,1,2,3,2,3,2,2,2,2,3,2,1,1,3,4,3,3,3,3,3,3,3,3,2,3,3,3,1,2,,2,2,1,Shop own brand,3,"Olive oil, spray sun flower, coconut oil",1,Supermarket own brand,4,3,1,1-2,3,2,3,2,,3,2,5,1.0,4.0,2,
FS_3R8gklVqMJv9rPj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_3sgNjtj3n4fkbOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_8ADu5zl5B2ytxSN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,2,3,2,3,1,1,2,2,3,1,2,2,1,3,3,1,4,1,5,1,1,1,1,1,4,1,1,1,1,1,4,4,1,1,2,1,1,1,1,1,1,1,4,4,2,7,3,3,3,1,3,1,3,1,4,2,7,7,1,1,4,1,3,1,1,4,2,1,3,5,5,3,4,1,1,4,2,2,4,2,3,4,5,5,4,4,4,4,5,1,3,3,6,6,4,5,3,5,4,6,1,1,2,3,3,3,1,2,,3,2,2,,3,olive,1,,4,4,4,0,4,2,3,2,,7,4,6,0.0,0.0,1,"berocca vitamin c tablets, once a day"
FS_9EsvRw0jOoaDH1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_AccHXGanH4AQAiR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_ctBHlBalCZnNDzz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_dms2ShwNc7V5fSF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_pQ9pByqwvDXvsD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_r1R8QdLXxgE8Q6Z,2,2,1,1,5,5,1,1,5,1,1,5,5,5,5,1,1,6,6,5,1,1,1,1,5,3,4,1,4,4,4,1,1,3,1,1,1,4,1,5,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,4,4,3,1,1,4,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,5,1,1,1,4,4,4,7,6,1,6,1,1,1,1,1,1,1,1,1,4,1,1,1,6,6,6,1,1,1,6,6,5,4,1,4,1,1,6,1,1,1,4,1,1,2,,3,2,2,,3,Sunflower,1,,2,4,4,2,1,2,4,2,,7,7,7,4.0,4.0,2,
FS_TeifLGcgFJZLnln,3,2,2,2,4,3,2,1,2,1,1,1,2,2,3,3,1,3,2,2,2,1,1,2,3,3,2,2,3,1,4,1,2,2,4,3,1,4,1,4,1,1,1,1,1,1,3,7,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,2,3,3,1,1,6,1,1,1,4,3,3,1,6,1,1,1,1,1,2,1,7,1,1,2,1,3,3,1,4,1,1,1,1,4,5,3,6,1,1,2,4,6,1,3,2,3,2,3,1,2,6,6,6,1,2,4,2,5,2,1,3,3,2,1,1,2,,7,1,2,,1,,5,Stork,3,4,2,3,3,1,3,2,,7,3,7,2.0,5.0,1,D
FS_tLDVIzIgXMF3Smt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
FS_ulxifbUzHLt1RPH,5,2,3,2,4,3,2,6,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,6,3,3,1,1,2,1,3,3,2,1,2,1,2,1,2,6,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,4,1,1,1,3,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,4,4,4,7,3,5,2,1,2,2,1,1,3,1,1,4,1,3,1,1,2,1,1,1,1,3,3,3,1,2,1,4,1,1,5,1,1,1,1,1,1,2,,2,2,1,chocolate pillows,3,sunflower,1,,4,4,2,2,2,1,1,2,,7,3,7,2.0,7.0,1,vitamin B2 and vitamin D once a day
FS_VXqKwl0Kloc6v0R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0.0,0.0,0,
